series,gsm,patient,histology,module,spots,assayed_fraction,eligible,mean_log1p_norm10000,mean_norm10000,coordinates_available
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,3266,0.93,True,0.4636110749220383,0.9866525670725907,False
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_P53_PATHWAY,3266,0.95,True,0.4963774397079851,1.3834312684075971,False
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_TGF_BETA_SIGNALING,3266,0.9814814814814816,True,0.6223678913284983,1.5714989855812171,False
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,3266,0.98,True,0.6301851646746377,1.998788196495024,False
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_WNT_BETA_CATENIN_SIGNALING,3266,0.9761904761904762,True,0.3143193748981328,0.6645620553994266,False
GSE267226,GSM8262704,GSM8262704,Control1,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,3266,0.98,True,0.4546381669928067,1.4346266681552111,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_IL1B,3266,1.0,True,0.0886944014339881,0.1598394275679744,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_IL1A,3266,1.0,True,0.0491618894338374,0.0913425352952507,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_IL1R1,3266,1.0,True,1.0823309910012542,2.774471274722879,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_IL1RAP,3266,1.0,True,0.1896586307658888,0.332847872984593,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_IL1RN,3266,1.0,True,0.0560248380475978,0.099894757109768,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_IL1R2,3266,1.0,True,0.3910006610248764,0.7683670875328011,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_SIGIRR,3266,1.0,True,0.473279628160853,0.9375057558689393,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_TGFB1,3266,1.0,True,0.1045112771680826,0.1855558705004421,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_CCL2,3266,1.0,True,0.2170859634355866,0.4430551935560144,False
